WTeam,LTeam,Prob,Games,Incorrect
Arizona,NC State,69.78%,,
Arizona,Nevada,62.29%,,
Arizona,New Mexico St,79.23%,,
Arizona,North Carolina,41.71%,,
Arizona,Ohio St,54.17%,,
Arizona,Oklahoma,73.18%,,
Arizona,Penn,88.16%,,
Arizona,Providence,73.18%,,
Arizona,Purdue,41.71%,,
Arizona,Radford,88.16%,,
Arizona,Rhode Island,62.29%,,
Arizona,S Dakota St,79.23%,,
Arizona,San Diego St,76.34%,,
Arizona,Seton Hall,66.14%,,
Arizona,SF Austin,84.20%,,
Arizona,St Bonaventure,76.34%,,
Arizona,Syracuse,76.34%,,
Arizona,TCU,58.29%,,
Arizona,Tennessee,45.83%,,
Arizona,Texas,73.18%,,
Arizona,Texas A&M,62.29%,,
Arizona,Texas Tech,45.83%,,
Arizona,TX Southern,88.16%,,
Arizona,UCLA,66.14%,,
Arizona,UMBC,88.16%,,
Arizona,UNC Greensboro,81.85%,,
Arizona,Villanova,37.71%,,
Arizona,Virginia,37.71%,,
Arizona,Virginia Tech,66.14%,,
Arizona,West Virginia,54.17%,,
Arizona,Wichita St,50.00%,,
Arizona,Wright St,84.20%,,
Arizona,Xavier,37.71%,,
Arizona St,Arkansas,45.83%,,
Arizona St,Auburn,33.86%,,
Arizona St,Bucknell,73.18%,,
Arizona St,Buffalo,69.78%,,
Arizona St,Butler,58.29%,,
Arizona St,Cincinnati,26.82%,,
Arizona St,Clemson,37.71%,,
Arizona St,Col Charleston,50.00%,,
Arizona St,Creighton,50.00%,,
Arizona St,CS Fullerton,76.34%,,
Arizona St,Davidson,66.14%,,
Arizona St,Duke,26.82%,,
Arizona St,Florida,41.71%,,
Arizona St,Florida St,54.17%,,
Arizona St,Georgia St,76.34%,,
Arizona St,Gonzaga,33.86%,,
Arizona St,Houston,41.71%,,
Arizona St,Iona,76.34%,,
Arizona St,Kansas,23.66%,,
Arizona St,Kansas St,54.17%,,
Arizona St,Kentucky,37.71%,,
Arizona St,Lipscomb,76.34%,,
Arizona St,Long Island,50.00%,,
Arizona St,Loyola-Chicago,62.29%,,
Arizona St,Marshall,69.78%,,
Arizona St,Miami FL,41.71%,,
Arizona St,Michigan,30.22%,,
Arizona St,Michigan St,30.22%,,
Arizona St,Missouri,50.00%,,
Arizona St,Montana,73.18%,,
Arizona St,Murray St,66.14%,,
Arizona St,NC Central,50.00%,,
Arizona St,NC State,54.17%,,
Arizona St,Nevada,45.83%,,
Arizona St,New Mexico St,66.14%,,
Arizona St,North Carolina,26.82%,,
Arizona St,Ohio St,37.71%,,
Arizona St,Oklahoma,58.29%,,
Arizona St,Penn,79.23%,,
Arizona St,Providence,58.29%,,
Arizona St,Purdue,26.82%,,
Arizona St,Radford,79.23%,,
Arizona St,Rhode Island,45.83%,,
Arizona St,S Dakota St,66.14%,,
Arizona St,San Diego St,62.29%,,
Arizona St,Seton Hall,50.00%,,
Arizona St,SF Austin,73.18%,,
Arizona St,St Bonaventure,62.29%,,
Arizona St,Syracuse,62.29%,,
Arizona St,TCU,41.71%,,
Arizona St,Tennessee,30.22%,,
Arizona St,Texas,58.29%,,
Arizona St,Texas A&M,45.83%,,
Arizona St,Texas Tech,30.22%,,
Arizona St,TX Southern,79.23%,,
Arizona St,UCLA,50.00%,,
Arizona St,UMBC,79.23%,,
Arizona St,UNC Greensboro,69.78%,,
Arizona St,Villanova,23.66%,,
Arizona St,Virginia,23.66%,,
Arizona St,Virginia Tech,50.00%,,
Arizona St,West Virginia,37.71%,,
Arizona St,Wichita St,33.86%,,
Arizona St,Wright St,73.18%,,
Arizona St,Xavier,23.66%,,
Arkansas,Auburn,37.71%,,
Arkansas,Bucknell,76.34%,,
Arkansas,Buffalo,73.18%,,
CS Fullerton,Purdue,10.20%,E,
Arkansas,Cincinnati,30.22%,,
Arkansas,Clemson,41.71%,,
Arkansas,Col Charleston,54.17%,,
Arkansas,Creighton,54.17%,,
Arkansas,CS Fullerton,79.23%,,
Arkansas,Davidson,69.78%,,
Arkansas,Duke,30.22%,,
Arkansas,Florida,45.83%,,
Arkansas,Florida St,58.29%,,
Arkansas,Georgia St,79.23%,,
Arkansas,Gonzaga,37.71%,,
Arkansas,Houston,45.83%,,
Arkansas,Iona,79.23%,,
Arkansas,Kansas,26.82%,,
Arkansas,Kansas St,58.29%,,
Arkansas,Kentucky,41.71%,,
Arkansas,Lipscomb,79.23%,,
Arkansas,Long Island,54.17%,,
Arkansas,Loyola-Chicago,66.14%,,
Arkansas,Marshall,73.18%,,
Arkansas,Miami FL,45.83%,,
Arkansas,Michigan,33.86%,,
Arkansas,Michigan St,33.86%,,
Arkansas,Missouri,54.17%,,
Arkansas,Montana,76.34%,,
Arkansas,Murray St,69.78%,,
Arkansas,NC Central,54.17%,,
Arkansas,NC State,58.29%,,
Arkansas,Nevada,50.00%,,
Arkansas,New Mexico St,69.78%,,
Arkansas,North Carolina,30.22%,,
Arkansas,Ohio St,41.71%,,
Arkansas,Oklahoma,62.29%,,
Arkansas,Penn,81.85%,,
Arkansas,Providence,62.29%,,
Arkansas,Purdue,30.22%,,
Arkansas,Radford,81.85%,,
Arkansas,Rhode Island,50.00%,,
Arkansas,S Dakota St,69.78%,,
Arkansas,San Diego St,66.14%,,
Arkansas,Seton Hall,54.17%,,
Arkansas,SF Austin,76.34%,,
Arkansas,St Bonaventure,66.14%,,
Arkansas,Syracuse,66.14%,,
Arkansas,TCU,45.83%,,
Arkansas,Tennessee,33.86%,,
Arkansas,Texas,62.29%,,
Arkansas,Texas A&M,50.00%,,
Arkansas,Texas Tech,33.86%,,
Arkansas,TX Southern,81.85%,,
Arkansas,UCLA,54.17%,,
Arkansas,UMBC,81.85%,,
Arkansas,UNC Greensboro,73.18%,,
Arkansas,Villanova,26.82%,,
Arkansas,Virginia,26.82%,,
Arkansas,Virginia Tech,54.17%,,
Arkansas,West Virginia,41.71%,,
Arkansas,Wichita St,37.71%,,
Arkansas,Wright St,76.34%,,
Arkansas,Xavier,26.82%,,
Auburn,Bucknell,84.20%,,
Auburn,Buffalo,81.85%,,
Auburn,Butler,73.18%,,
Auburn,Cincinnati,41.71%,,
Auburn,Clemson,54.17%,,
Florida,St Bonaventure,69.78%,E,
Auburn,Creighton,66.14%,,
Auburn,CS Fullerton,86.30%,,
Auburn,Davidson,79.23%,,
Auburn,Duke,41.71%,,
Auburn,Florida,58.29%,,
Auburn,Florida St,69.78%,,
Auburn,Georgia St,86.30%,,
Auburn,Gonzaga,50.00%,,
Auburn,Houston,58.29%,,
Auburn,Iona,86.30%,,
Auburn,Kansas,37.71%,,
Auburn,Kansas St,69.78%,,
Auburn,Kentucky,54.17%,,
Auburn,Lipscomb,86.30%,,
Auburn,Long Island,66.14%,,
Auburn,Loyola-Chicago,76.34%,,
Auburn,Marshall,81.85%,,
Auburn,Miami FL,58.29%,,
Auburn,Michigan,45.83%,,
Auburn,Michigan St,45.83%,,
Auburn,Missouri,66.14%,,
Auburn,Montana,84.20%,,
Auburn,Murray St,79.23%,,
Auburn,NC Central,66.14%,,
Auburn,NC State,69.78%,,
Auburn,Nevada,62.29%,,
Auburn,New Mexico St,79.23%,,
Auburn,North Carolina,41.71%,,
Auburn,Ohio St,54.17%,,
Auburn,Oklahoma,73.18%,,
Auburn,Penn,88.16%,,
Auburn,Providence,73.18%,,
Auburn,Purdue,41.71%,,
Auburn,Radford,88.16%,,
Auburn,Rhode Island,62.29%,,
Auburn,S Dakota St,79.23%,,
Auburn,San Diego St,76.34%,,
Auburn,Seton Hall,66.14%,,
Auburn,SF Austin,84.20%,,
Auburn,St Bonaventure,76.34%,,
Auburn,Syracuse,76.34%,,
Auburn,TCU,58.29%,,
Auburn,Tennessee,45.83%,,
Auburn,Texas,73.18%,,
Auburn,Texas A&M,62.29%,,
Auburn,Texas Tech,45.83%,,
Auburn,TX Southern,88.16%,,
Auburn,UCLA,66.14%,,
Auburn,UMBC,88.16%,,
Auburn,UNC Greensboro,81.85%,,
Auburn,Villanova,37.71%,,
Auburn,Virginia,37.71%,,
Auburn,Virginia Tech,66.14%,,
Auburn,West Virginia,54.17%,,
Auburn,Wichita St,50.00%,,
Auburn,Wright St,84.20%,,
Auburn,Xavier,37.71%,,
Bucknell,Buffalo,45.83%,,
Bucknell,Butler,33.86%,,
Bucknell,Cincinnati,11.84%,,
Bucknell,Clemson,18.15%,,
Bucknell,Col Charleston,26.82%,,
Bucknell,Creighton,26.82%,,
Bucknell,CS Fullerton,54.17%,,
Bucknell,Davidson,41.71%,,
Bucknell,Duke,11.84%,,
Bucknell,Florida,20.77%,,
Bucknell,Florida St,30.22%,,
Bucknell,Georgia St,54.17%,,
Bucknell,Gonzaga,15.80%,,
Bucknell,Houston,20.77%,,
Bucknell,Iona,54.17%,,
Bucknell,Kansas,10.20%,,
Bucknell,Kansas St,30.22%,,
Bucknell,Kentucky,18.15%,,
Bucknell,Lipscomb,54.17%,,
Bucknell,Long Island,26.82%,,
Bucknell,Loyola-Chicago,37.71%,,
Bucknell,Marshall,45.83%,,
Bucknell,Miami FL,20.77%,,
Bucknell,Michigan,13.70%,,
Marshall,Wichita St,18.15%,E,X
Bucknell,Missouri,26.82%,,
Bucknell,Montana,50.00%,,
Bucknell,Murray St,41.71%,,
Bucknell,NC Central,26.82%,,
Bucknell,NC State,30.22%,,
Bucknell,Nevada,23.66%,,
Bucknell,New Mexico St,41.71%,,
Bucknell,North Carolina,11.84%,,
Bucknell,Ohio St,18.15%,,
Bucknell,Oklahoma,33.86%,,
Bucknell,Penn,58.29%,,
Bucknell,Providence,33.86%,,
Bucknell,Purdue,11.84%,,
Bucknell,Radford,58.29%,,
Bucknell,Rhode Island,23.66%,,
Bucknell,S Dakota St,41.71%,,
Bucknell,San Diego St,37.71%,,
Bucknell,Seton Hall,26.82%,,
Bucknell,SF Austin,50.00%,,
Bucknell,St Bonaventure,37.71%,,
Bucknell,Syracuse,37.71%,,
Bucknell,TCU,20.77%,,
Bucknell,Tennessee,13.70%,,
Bucknell,Texas,33.86%,,
Bucknell,Texas A&M,23.66%,,
Bucknell,Texas Tech,13.70%,,
Bucknell,TX Southern,58.29%,,
Bucknell,UCLA,26.82%,,
Bucknell,UMBC,58.29%,,
Bucknell,UNC Greensboro,45.83%,,
Bucknell,Villanova,10.20%,,
Bucknell,Virginia,10.20%,,
Bucknell,Virginia Tech,26.82%,,
Bucknell,West Virginia,18.15%,,
Bucknell,Wichita St,15.80%,,
Bucknell,Wright St,50.00%,,
Bucknell,Xavier,10.20%,,
Buffalo,Butler,37.71%,,
Buffalo,Cincinnati,13.70%,,
Buffalo,Clemson,20.77%,,
Buffalo,Col Charleston,30.22%,,
Buffalo,Creighton,30.22%,,
Buffalo,CS Fullerton,58.29%,,
Buffalo,Davidson,45.83%,,
Buffalo,Duke,13.70%,,
Buffalo,Florida,23.66%,,
Buffalo,Florida St,33.86%,,
Buffalo,Georgia St,58.29%,,
Buffalo,Gonzaga,18.15%,,
Buffalo,Houston,23.66%,,
Buffalo,Iona,58.29%,,
Buffalo,Kansas,11.84%,,
Buffalo,Kansas St,33.86%,,
Buffalo,Kentucky,20.77%,,
Buffalo,Lipscomb,58.29%,,
Buffalo,Long Island,30.22%,,
Buffalo,Loyola-Chicago,41.71%,,
Buffalo,Marshall,50.00%,,
Buffalo,Miami FL,23.66%,,
Buffalo,Michigan,15.80%,,
Buffalo,Michigan St,15.80%,,
Buffalo,Missouri,30.22%,,
Buffalo,Montana,54.17%,,
Buffalo,Murray St,45.83%,,
Buffalo,NC Central,30.22%,,
Buffalo,NC State,33.86%,,
Buffalo,Nevada,26.82%,,
Buffalo,New Mexico St,45.83%,,
Buffalo,North Carolina,13.70%,,
Buffalo,Ohio St,20.77%,,
Buffalo,Oklahoma,37.71%,,
Buffalo,Penn,62.29%,,
Buffalo,Providence,37.71%,,
Buffalo,Purdue,13.70%,,
Buffalo,Radford,62.29%,,
Buffalo,Rhode Island,26.82%,,
Buffalo,S Dakota St,45.83%,,
Buffalo,San Diego St,41.71%,,
Buffalo,Seton Hall,30.22%,,
Buffalo,SF Austin,54.17%,,
Buffalo,St Bonaventure,41.71%,,
Buffalo,Syracuse,41.71%,,
Buffalo,TCU,23.66%,,
Buffalo,Tennessee,15.80%,,
Buffalo,Texas,37.71%,,
Buffalo,Texas A&M,26.82%,,
Buffalo,Texas Tech,15.80%,,
Buffalo,TX Southern,62.29%,,
Buffalo,UCLA,30.22%,,
Buffalo,UMBC,62.29%,,
Buffalo,UNC Greensboro,50.00%,,
Buffalo,Villanova,11.84%,,
Buffalo,Virginia,11.84%,,
Buffalo,Virginia Tech,30.22%,,
Buffalo,West Virginia,20.77%,,
Buffalo,Wichita St,18.15%,,
Buffalo,Wright St,54.17%,,
Buffalo,Xavier,11.84%,,
Butler,Cincinnati,20.77%,,
Butler,Clemson,30.22%,,
Butler,Col Charleston,41.71%,,
Butler,Creighton,41.71%,,
Butler,CS Fullerton,69.78%,,
Butler,Davidson,58.29%,,
Butler,Duke,20.77%,,
Butler,Florida,33.86%,,
Butler,Florida St,45.83%,,
Butler,Georgia St,69.78%,,
Butler,Gonzaga,26.82%,,
Butler,Houston,33.86%,,
Butler,Iona,69.78%,,
Butler,Kansas,18.15%,,
Butler,Kansas St,45.83%,,
Butler,Kentucky,30.22%,,
Butler,Lipscomb,69.78%,,
Butler,Long Island,41.71%,,
Butler,Loyola-Chicago,54.17%,,
Butler,Marshall,62.29%,,
Butler,Miami FL,33.86%,,
Butler,Michigan,23.66%,,
Butler,Michigan St,23.66%,,
Butler,Missouri,41.71%,,
Butler,Montana,66.14%,,
Butler,Murray St,58.29%,,
Butler,NC Central,41.71%,,
Butler,NC State,45.83%,,
Butler,Nevada,37.71%,,
Butler,New Mexico St,58.29%,,
Butler,North Carolina,20.77%,,
Butler,Ohio St,30.22%,,
Butler,Oklahoma,50.00%,,
Butler,Penn,73.18%,,
Butler,Providence,50.00%,,
Butler,Purdue,20.77%,,
Butler,Radford,73.18%,,
Butler,Rhode Island,37.71%,,
Butler,S Dakota St,58.29%,,
Butler,San Diego St,54.17%,,
Butler,Seton Hall,41.71%,,
Butler,SF Austin,66.14%,,
Butler,St Bonaventure,54.17%,,
Butler,Syracuse,54.17%,,
Butler,TCU,33.86%,,
Butler,Tennessee,23.66%,,
Butler,Texas,50.00%,,
Butler,Texas A&M,37.71%,,
Butler,Texas Tech,23.66%,,
Butler,TX Southern,73.18%,,
Butler,UCLA,41.71%,,
Butler,UMBC,73.18%,,
Butler,UNC Greensboro,62.29%,,
Butler,Villanova,18.15%,,
Butler,Virginia,18.15%,,
Butler,Virginia Tech,41.71%,,
Butler,West Virginia,30.22%,,
Butler,Wichita St,26.82%,,
Butler,Wright St,66.14%,,
Butler,Xavier,18.15%,,
Cincinnati,Clemson,62.29%,,
Cincinnati,Col Charleston,73.18%,,
Cincinnati,Creighton,73.18%,,
Cincinnati,CS Fullerton,89.80%,,
Cincinnati,Davidson,84.20%,,
Cincinnati,Duke,50.00%,,
Cincinnati,Florida,66.14%,,
Cincinnati,Florida St,76.34%,,
Murray St,West Virginia,23.66%,E,
Cincinnati,Gonzaga,58.29%,,
Cincinnati,Houston,66.14%,,
Cincinnati,Iona,89.80%,,
Cincinnati,Kansas,45.83%,,
Cincinnati,Kansas St,76.34%,,
Cincinnati,Kentucky,62.29%,,
Cincinnati,Lipscomb,89.80%,,
Cincinnati,Long Island,73.18%,,
Cincinnati,Loyola-Chicago,81.85%,,
Cincinnati,Marshall,86.30%,,
Cincinnati,Miami FL,66.14%,,
Cincinnati,Michigan,54.17%,,
Cincinnati,Michigan St,54.17%,,
Cincinnati,Missouri,73.18%,,
Cincinnati,Montana,88.16%,,
Cincinnati,Murray St,84.20%,,
Cincinnati,NC Central,73.18%,,
Cincinnati,NC State,76.34%,,
Cincinnati,Nevada,69.78%,,
Cincinnati,New Mexico St,84.20%,,
Cincinnati,North Carolina,50.00%,,
Cincinnati,Ohio St,62.29%,,
Cincinnati,Oklahoma,79.23%,,
Cincinnati,Penn,91.24%,,
Cincinnati,Providence,79.23%,,
Cincinnati,Purdue,50.00%,,
Cincinnati,Radford,91.24%,,
Cincinnati,Rhode Island,69.78%,,
Cincinnati,S Dakota St,84.20%,,
Cincinnati,San Diego St,81.85%,,
Cincinnati,Seton Hall,73.18%,,
Cincinnati,SF Austin,88.16%,,
Cincinnati,St Bonaventure,81.85%,,
Cincinnati,Syracuse,81.85%,,
Cincinnati,TCU,66.14%,,
Cincinnati,Tennessee,54.17%,,
Cincinnati,Texas,79.23%,,
Cincinnati,Texas A&M,69.78%,,
Cincinnati,Texas Tech,54.17%,,
Cincinnati,TX Southern,91.24%,,
Cincinnati,UCLA,73.18%,,
Cincinnati,UMBC,91.24%,,
Cincinnati,UNC Greensboro,86.30%,,
Cincinnati,Villanova,45.83%,,
Cincinnati,Virginia,45.83%,,
Cincinnati,Virginia Tech,73.18%,,
Cincinnati,West Virginia,62.29%,,
Cincinnati,Wichita St,58.29%,,
Cincinnati,Wright St,88.16%,,
Cincinnati,Xavier,45.83%,,
Clemson,Col Charleston,62.29%,,
Clemson,Creighton,62.29%,,
Clemson,CS Fullerton,84.20%,,
Clemson,Davidson,76.34%,,
Clemson,Duke,37.71%,,
Clemson,Florida,54.17%,,
Clemson,Florida St,66.14%,,
Clemson,Georgia St,84.20%,,
Clemson,Gonzaga,45.83%,,
Clemson,Houston,54.17%,,
Clemson,Iona,84.20%,,
Clemson,Kansas,33.86%,,
Clemson,Kansas St,66.14%,,
Clemson,Kentucky,50.00%,,
Clemson,Lipscomb,84.20%,,
Clemson,Long Island,62.29%,,
Clemson,Loyola-Chicago,73.18%,,
Clemson,Marshall,79.23%,,
Clemson,Miami FL,54.17%,,
Clemson,Michigan,41.71%,,
Clemson,Michigan St,41.71%,,
Clemson,Missouri,62.29%,,
Clemson,Montana,81.85%,,
Clemson,Murray St,76.34%,,
Clemson,NC Central,62.29%,,
Clemson,NC State,66.14%,,
Clemson,Nevada,58.29%,,
Radford,Villanova,7.52%,E,
Clemson,North Carolina,37.71%,,
Clemson,Ohio St,50.00%,,
Clemson,Oklahoma,69.78%,,
Clemson,Penn,86.30%,,
Clemson,Providence,69.78%,,
Clemson,Purdue,37.71%,,
Clemson,Radford,86.30%,,
Clemson,Rhode Island,58.29%,,
Clemson,S Dakota St,76.34%,,
Clemson,San Diego St,73.18%,,
Clemson,Seton Hall,62.29%,,
Clemson,SF Austin,81.85%,,
Clemson,St Bonaventure,73.18%,,
Clemson,Syracuse,73.18%,,
Clemson,TCU,54.17%,,
Clemson,Tennessee,41.71%,,
Clemson,Texas,69.78%,,
Clemson,Texas A&M,58.29%,,
Clemson,Texas Tech,41.71%,,
Clemson,TX Southern,86.30%,,
Clemson,UCLA,62.29%,,
Clemson,UMBC,86.30%,,
Clemson,UNC Greensboro,79.23%,,
Clemson,Villanova,33.86%,,
Clemson,Virginia,33.86%,,
Clemson,Virginia Tech,62.29%,,
Clemson,West Virginia,50.00%,,
Clemson,Wichita St,45.83%,,
Clemson,Wright St,81.85%,,
Clemson,Xavier,33.86%,,
Col Charleston,Creighton,50.00%,,
Col Charleston,CS Fullerton,76.34%,,
Col Charleston,Davidson,66.14%,,
Col Charleston,Duke,26.82%,,
Col Charleston,Florida,41.71%,,
Col Charleston,Florida St,54.17%,,
Col Charleston,Georgia St,76.34%,,
Col Charleston,Gonzaga,33.86%,,
Col Charleston,Houston,41.71%,,
Col Charleston,Iona,76.34%,,
Col Charleston,Kansas,23.66%,,
Col Charleston,Kansas St,54.17%,,
Col Charleston,Kentucky,37.71%,,
Col Charleston,Lipscomb,76.34%,,
Col Charleston,Long Island,50.00%,,
Col Charleston,Loyola-Chicago,62.29%,,
Col Charleston,Marshall,69.78%,,
Col Charleston,Miami FL,41.71%,,
Col Charleston,Michigan,30.22%,,
Col Charleston,Michigan St,30.22%,,
Col Charleston,Missouri,50.00%,,
Col Charleston,Montana,73.18%,,
Col Charleston,Murray St,66.14%,,
Col Charleston,NC Central,50.00%,,
Col Charleston,NC State,54.17%,,
Col Charleston,Nevada,45.83%,,
Col Charleston,New Mexico St,66.14%,,
Col Charleston,North Carolina,26.82%,,
Col Charleston,Ohio St,37.71%,,
Col Charleston,Oklahoma,58.29%,,
Col Charleston,Penn,79.23%,,
Col Charleston,Providence,58.29%,,
Col Charleston,Purdue,26.82%,,
Col Charleston,Radford,79.23%,,
Col Charleston,Rhode Island,45.83%,,
Col Charleston,S Dakota St,66.14%,,
Col Charleston,San Diego St,62.29%,,
Col Charleston,Seton Hall,50.00%,,
Col Charleston,SF Austin,73.18%,,
Col Charleston,St Bonaventure,62.29%,,
Col Charleston,Syracuse,62.29%,,
Col Charleston,TCU,41.71%,,
Col Charleston,Tennessee,30.22%,,
Col Charleston,Texas,58.29%,,
Col Charleston,Texas A&M,45.83%,,
Col Charleston,Texas Tech,30.22%,,
Col Charleston,TX Southern,79.23%,,
Col Charleston,UCLA,50.00%,,
Col Charleston,UMBC,79.23%,,
Col Charleston,UNC Greensboro,69.78%,,
Col Charleston,Villanova,23.66%,,
Col Charleston,Virginia,23.66%,,
Col Charleston,Virginia Tech,50.00%,,
Col Charleston,West Virginia,37.71%,,
Col Charleston,Wichita St,33.86%,,
Col Charleston,Wright St,73.18%,,
Col Charleston,Xavier,23.66%,,
Creighton,CS Fullerton,76.34%,,
Creighton,Davidson,66.14%,,
Creighton,Duke,26.82%,,
Creighton,Florida,41.71%,,
Creighton,Florida St,54.17%,,
Creighton,Georgia St,76.34%,,
Creighton,Gonzaga,33.86%,,
Creighton,Houston,41.71%,,
Creighton,Iona,76.34%,,
Creighton,Kansas,23.66%,,
SF Austin,Texas Tech,13.70%,E,
Creighton,Kentucky,37.71%,,
Creighton,Lipscomb,76.34%,,
Creighton,Long Island,50.00%,,
Creighton,Loyola-Chicago,62.29%,,
Creighton,Marshall,69.78%,,
Creighton,Miami FL,41.71%,,
Creighton,Michigan,30.22%,,
Creighton,Michigan St,30.22%,,
Creighton,Missouri,50.00%,,
Creighton,Montana,73.18%,,
Creighton,Murray St,66.14%,,
Creighton,NC Central,50.00%,,
Creighton,NC State,54.17%,,
Creighton,Nevada,45.83%,,
Creighton,New Mexico St,66.14%,,
Creighton,North Carolina,26.82%,,
Creighton,Ohio St,37.71%,,
Creighton,Oklahoma,58.29%,,
Creighton,Penn,79.23%,,
Creighton,Providence,58.29%,,
Creighton,Purdue,26.82%,,
Creighton,Radford,79.23%,,
Creighton,Rhode Island,45.83%,,
Creighton,S Dakota St,66.14%,,
Creighton,San Diego St,62.29%,,
Creighton,Seton Hall,50.00%,,
Creighton,SF Austin,73.18%,,
Creighton,St Bonaventure,62.29%,,
Creighton,Syracuse,62.29%,,
Creighton,TCU,41.71%,,
Creighton,Tennessee,30.22%,,
Creighton,Texas,58.29%,,
Creighton,Texas A&M,45.83%,,
Creighton,Texas Tech,30.22%,,
Creighton,TX Southern,79.23%,,
Creighton,UCLA,50.00%,,
Creighton,UMBC,79.23%,,
Creighton,UNC Greensboro,69.78%,,
Creighton,Villanova,23.66%,,
Creighton,Virginia,23.66%,,
Creighton,Virginia Tech,50.00%,,
Creighton,West Virginia,37.71%,,
Creighton,Wichita St,33.86%,,
Creighton,Wright St,73.18%,,
Creighton,Xavier,23.66%,,
CS Fullerton,Davidson,37.71%,,
CS Fullerton,Duke,10.20%,,
CS Fullerton,Florida,18.15%,,
CS Fullerton,Florida St,26.82%,,
CS Fullerton,Georgia St,50.00%,,
CS Fullerton,Gonzaga,13.70%,,
CS Fullerton,Houston,18.15%,,
CS Fullerton,Iona,50.00%,,
CS Fullerton,Kansas,8.76%,,
CS Fullerton,Kansas St,26.82%,,
CS Fullerton,Kentucky,15.80%,,
CS Fullerton,Lipscomb,50.00%,,
CS Fullerton,Long Island,23.66%,,
CS Fullerton,Loyola-Chicago,33.86%,,
CS Fullerton,Marshall,41.71%,,
CS Fullerton,Miami FL,18.15%,,
CS Fullerton,Michigan,11.84%,,
CS Fullerton,Michigan St,11.84%,,
CS Fullerton,Missouri,23.66%,,
CS Fullerton,Montana,45.83%,,
CS Fullerton,Murray St,37.71%,,
CS Fullerton,NC Central,23.66%,,
