WTeam,LTeam,Prob,Games,Incorrect
Arizona St,Oklahoma,83.46%,,
Arizona St,Penn,92.98%,,
Arizona St,Providence,79.55%,,
Arizona St,Purdue,51.70%,,
Arizona St,Radford,89.21%,,
Arizona St,Rhode Island,65.63%,,
Arizona St,S Dakota St,86.22%,,
Arizona St,San Diego St,84.33%,,
Arizona St,Seton Hall,74.23%,,
Arizona St,SF Austin,86.79%,,
Arizona St,St Bonaventure,83.37%,,
Arizona St,Syracuse,77.49%,,
Arizona St,TCU,72.88%,,
Arizona St,Tennessee,59.56%,,
Arizona St,Texas,77.74%,,
Arizona St,Texas A&M,72.93%,,
Arizona St,Texas Tech,48.78%,,
Arizona St,TX Southern,95.00%,,
Arizona St,UCLA,50.26%,,
Arizona St,UMBC,94.06%,,
Arizona St,UNC Greensboro,84.51%,,
Arizona St,Villanova,36.83%,,
Arizona St,Virginia,36.78%,,
Arizona St,Virginia Tech,80.72%,,
Arizona St,West Virginia,53.16%,,
Arizona St,Wichita St,61.98%,,
Arizona St,Wright St,88.95%,,
Arizona St,Xavier,50.19%,,
Arkansas,Butler,50.73%,,
Arkansas,Auburn,29.18%,,
Arkansas,Bucknell,75.20%,,
Arkansas,Buffalo,71.86%,,
Arkansas,Cincinnati,21.15%,,
Arkansas,Clemson,45.41%,,
Arkansas,Col Charleston,17.43%,,
Arkansas,Creighton,51.33%,,
Arkansas,CS Fullerton,78.08%,,
Arkansas,Davidson,65.33%,,
Arkansas,Duke,18.51%,,
Arkansas,Florida,40.18%,,
Arkansas,Florida St,45.56%,,
Arkansas,Georgia St,75.03%,,
Arkansas,Gonzaga,26.96%,,
Arkansas,Houston,43.48%,,
Arkansas,Iona,78.00%,,
Arkansas,Kansas,21.63%,,
Arkansas,Kansas St,43.51%,,
Arkansas,Kentucky,42.35%,,
Arkansas,Lipscomb,83.51%,,
Arkansas,Long Island,35.31%,,
Arkansas,Loyola-Chicago,57.44%,,
Arkansas,Marshall,68.20%,,
Arkansas,Miami FL,38.61%,,
Arkansas,Michigan,30.11%,,
Arkansas,Michigan St,37.13%,,
Arkansas,Missouri,67.74%,,
Arkansas,Montana,66.44%,,
Arkansas,Murray St,59.47%,,
Arkansas,NC Central,35.40%,,
Arkansas,NC State,44.20%,,
Arkansas,Nevada,44.69%,,
Arkansas,New Mexico St,62.41%,,
Arkansas,North Carolina,23.94%,,
Arkansas,Ohio St,39.36%,,
Arkansas,Oklahoma,63.45%,,
Arkansas,Penn,82.00%,,
Arkansas,Providence,57.24%,,
Arkansas,Purdue,26.92%,,
Arkansas,Radford,73.99%,,
Arkansas,Rhode Island,39.65%,,
Arkansas,S Dakota St,68.29%,,
Arkansas,San Diego St,64.93%,,
Arkansas,Seton Hall,49.78%,,
Arkansas,SF Austin,69.34%,,
Arkansas,St Bonaventure,63.30%,,
Arkansas,Syracuse,54.22%,,
Arkansas,TCU,48.04%,,
Arkansas,Tennessee,33.63%,,
Arkansas,Texas,54.58%,,
Arkansas,Texas A&M,48.11%,,
Arkansas,Texas Tech,24.68%,,
Arkansas,TX Southern,87.09%,,
Arkansas,UCLA,25.80%,,
Arkansas,UMBC,84.49%,,
Arkansas,UNC Greensboro,65.25%,,
Arkansas,Villanova,16.71%,,
Arkansas,Virginia,16.68%,,
Arkansas,Virginia Tech,59.03%,,
Arkansas,West Virginia,28.09%,,
Arkansas,Wichita St,35.94%,,
Arkansas,Wright St,73.48%,,
Arkansas,Xavier,25.74%,,
Auburn,Bucknell,88.04%,,
Auburn,Buffalo,86.10%,,
Auburn,Butler,71.42%,,
Auburn,Cincinnati,39.42%,,
Butler,Purdue,26.35%,E,
Auburn,Creighton,71.90%,,
Auburn,CS Fullerton,89.63%,,
Auburn,Davidson,82.06%,,
Auburn,Duke,35.53%,,
Auburn,Florida,61.97%,,
Auburn,Florida St,67.01%,,
Auburn,Georgia St,87.94%,,
Auburn,Gonzaga,47.25%,,
Auburn,Houston,65.12%,,
Auburn,Iona,89.59%,,
Auburn,Kansas,40.12%,,
Auburn,Kansas St,65.14%,,
Auburn,Kentucky,64.06%,,
Auburn,Lipscomb,92.47%,,
Auburn,Long Island,56.98%,,
Auburn,Loyola-Chicago,76.61%,,
Auburn,Marshall,83.88%,,
Auburn,Miami FL,60.42%,,
Auburn,Michigan,51.11%,,
Auburn,Michigan St,58.90%,,
Auburn,Missouri,83.60%,,
Auburn,Montana,82.77%,,
Auburn,Murray St,78.07%,,
Auburn,NC Central,57.08%,,
Auburn,NC State,65.78%,,
Auburn,Nevada,66.22%,,
Auburn,New Mexico St,80.11%,,
Auburn,North Carolina,43.31%,,
Auburn,Ohio St,61.16%,,
Auburn,Oklahoma,80.82%,,
Auburn,Penn,91.70%,,
Auburn,Providence,76.46%,,
Auburn,Purdue,47.20%,,
Auburn,Radford,87.35%,,
Auburn,Rhode Island,61.46%,,
Auburn,S Dakota St,83.94%,,
Auburn,San Diego St,81.80%,,
Auburn,Seton Hall,70.64%,,
Auburn,SF Austin,84.59%,,
Auburn,St Bonaventure,80.71%,,
Auburn,Syracuse,74.19%,,
Auburn,TCU,69.17%,,
Auburn,Tennessee,55.15%,,
Auburn,Texas,74.47%,,
Auburn,Texas A&M,69.23%,,
Auburn,Texas Tech,44.30%,,
Auburn,TX Southern,94.24%,,
Auburn,UCLA,45.76%,,
Auburn,UMBC,92.97%,,
Auburn,UNC Greensboro,82.00%,,
Auburn,Villanova,32.74%,,
Auburn,Virginia,32.70%,,
Auburn,Virginia Tech,77.76%,,
Auburn,West Virginia,48.66%,,
Auburn,Wichita St,57.65%,,
Auburn,Wright St,87.05%,,
Auburn,Xavier,45.69%,,
Auburn,Col Charleston,33.87%,,
Bucknell,Buffalo,45.71%,,
Bucknell,Butler,25.35%,,
Bucknell,Cincinnati,8.13%,,
Bucknell,Clemson,21.53%,,
Bucknell,Col Charleston,6.51%,,
Bucknell,Creighton,25.81%,,
Bucknell,CS Fullerton,54.02%,,
Bucknell,Davidson,38.33%,,
Bucknell,Duke,6.97%,,
Bucknell,Florida,18.13%,,
Bucknell,Florida St,21.63%,,
Bucknell,Georgia St,49.77%,,
Bucknell,Gonzaga,10.85%,,
Bucknell,Houston,20.24%,,
Bucknell,Iona,53.90%,,
Bucknell,Kansas,8.34%,,
Bucknell,Kansas St,20.25%,,
Bucknell,Kentucky,19.50%,,
Bucknell,Lipscomb,62.54%,,
Bucknell,Long Island,15.26%,,
Bucknell,Loyola-Chicago,30.80%,,
Bucknell,Marshall,41.43%,,
Bucknell,Miami FL,17.18%,,
Bucknell,Michigan,12.44%,,
Bucknell,Missouri,40.92%,,
Bucknell,Montana,39.51%,,
Bucknell,Murray St,32.61%,,
Bucknell,NC Central,15.31%,,
Bucknell,NC State,20.71%,,
Bucknell,Nevada,21.04%,,
Bucknell,New Mexico St,35.38%,,
Bucknell,North Carolina,9.41%,,
Bucknell,Ohio St,17.63%,,
Bucknell,Oklahoma,36.41%,,
Bucknell,Penn,60.04%,,
Bucknell,Providence,30.63%,,
Bucknell,Purdue,10.83%,,
Bucknell,Radford,48.41%,,
Bucknell,Rhode Island,17.81%,,
Bucknell,S Dakota St,41.53%,,
Bucknell,San Diego St,37.91%,,
Bucknell,Seton Hall,24.64%,,
Bucknell,SF Austin,42.72%,,
Bucknell,St Bonaventure,36.25%,,
Bucknell,Syracuse,28.09%,,
Bucknell,TCU,23.37%,,
Bucknell,Tennessee,14.32%,,
Bucknell,Texas,28.39%,,
Bucknell,Texas A&M,23.42%,,
Bucknell,Texas Tech,9.75%,,
Bucknell,TX Southern,68.99%,,
Bucknell,UCLA,10.29%,,
Bucknell,UMBC,64.24%,,
Bucknell,UNC Greensboro,38.24%,,
Bucknell,Villanova,6.21%,,
Bucknell,Virginia,6.19%,,
Bucknell,Virginia Tech,32.22%,,
Bucknell,West Virginia,11.41%,,
Bucknell,Wichita St,15.61%,,
Bucknell,Wright St,47.75%,,
Bucknell,Xavier,10.26%,,
Bucknell,Michigan St,16.30%,,
Buffalo,Butler,28.74%,,
Buffalo,Cincinnati,9.51%,,
Buffalo,Clemson,24.58%,,
Buffalo,Col Charleston,7.64%,,
Buffalo,Creighton,29.23%,,
Buffalo,CS Fullerton,58.25%,,
Buffalo,Davidson,42.47%,,
Buffalo,Duke,8.17%,,
Buffalo,Florida,20.83%,,
Buffalo,Florida St,24.69%,,
Buffalo,Georgia St,54.06%,,
Buffalo,Gonzaga,12.63%,,
Buffalo,Houston,23.16%,,
Buffalo,Iona,58.13%,,
Buffalo,Kansas,9.76%,,
Buffalo,Kansas St,23.17%,,
Florida,Texas Tech,32.79%,E,
Buffalo,Lipscomb,66.48%,,
Buffalo,Long Island,17.61%,,
Buffalo,Loyola-Chicago,34.58%,,
Buffalo,Marshall,45.65%,,
Buffalo,Miami FL,19.77%,,
Buffalo,Michigan,14.44%,,
Buffalo,Michigan St,18.78%,,
Buffalo,Missouri,45.13%,,
Buffalo,Montana,43.68%,,
Buffalo,Murray St,36.49%,,
Buffalo,NC Central,17.67%,,
Buffalo,NC State,23.68%,,
Buffalo,Nevada,24.04%,,
Buffalo,New Mexico St,39.40%,,
Buffalo,North Carolina,10.98%,,
Buffalo,Ohio St,20.27%,,
Buffalo,Oklahoma,40.47%,,
Buffalo,Penn,64.08%,,
Buffalo,Providence,34.40%,,
Buffalo,Purdue,12.61%,,
Buffalo,Radford,52.70%,,
Buffalo,Rhode Island,20.47%,,
Buffalo,S Dakota St,45.75%,,
Buffalo,San Diego St,42.04%,,
Buffalo,Seton Hall,27.97%,,
Buffalo,SF Austin,46.97%,,
Buffalo,St Bonaventure,40.31%,,
Buffalo,Syracuse,31.69%,,
Buffalo,TCU,26.59%,,
Buffalo,Tennessee,16.56%,,
Buffalo,Texas,32.01%,,
Buffalo,Texas A&M,26.64%,,
Buffalo,Texas Tech,11.37%,,
Buffalo,TX Southern,72.54%,,
Buffalo,UCLA,11.99%,,
Buffalo,UMBC,68.08%,,
Buffalo,UNC Greensboro,42.37%,,
Buffalo,Villanova,7.29%,,
Buffalo,Virginia,7.27%,,
Buffalo,Virginia Tech,36.08%,,
Buffalo,West Virginia,13.27%,,
Buffalo,Wichita St,18.01%,,
Buffalo,Wright St,52.04%,,
Buffalo,Xavier,11.96%,,
Butler,Cincinnati,20.66%,,
Butler,Clemson,44.69%,,
Butler,Col Charleston,17.01%,,
Butler,Creighton,50.60%,,
Butler,CS Fullerton,77.58%,,
Butler,Davidson,64.67%,,
Butler,Duke,18.07%,,
Butler,Florida,39.48%,,
Butler,Florida St,44.84%,,
Butler,Georgia St,74.48%,,
Butler,Gonzaga,26.39%,,
Butler,Houston,42.77%,,
Butler,Iona,77.50%,,
Butler,Kansas,21.14%,,
Butler,Kansas St,42.79%,,
Butler,Kentucky,41.64%,,
Butler,Lipscomb,83.10%,,
Butler,Long Island,34.65%,,
Butler,Loyola-Chicago,56.73%,,
Butler,Marshall,67.57%,,
Butler,Miami FL,37.92%,,
Butler,Michigan,29.50%,,
Butler,Michigan St,36.45%,,
Butler,Missouri,67.11%,,
Butler,Montana,65.79%,,
Butler,Murray St,58.76%,,
Butler,NC Central,34.74%,,
Butler,NC State,43.48%,,
Butler,Nevada,43.97%,,
Butler,New Mexico St,61.72%,,
Butler,North Carolina,23.42%,,
Butler,Ohio St,38.67%,,
Butler,Oklahoma,62.77%,,
Butler,Penn,81.57%,,
Butler,Providence,56.53%,,
Marshall,West Virginia,15.41%,E,
Butler,Radford,73.43%,,
Butler,Rhode Island,38.96%,,
Butler,S Dakota St,67.65%,,
Butler,San Diego St,64.27%,,
Butler,Seton Hall,49.05%,,
Butler,SF Austin,68.72%,,
Butler,St Bonaventure,62.62%,,
Butler,Syracuse,53.50%,,
Butler,TCU,47.31%,,
Butler,Tennessee,32.99%,,
Butler,Texas,53.86%,,
Butler,Texas A&M,47.39%,,
Butler,Texas Tech,24.14%,,
Butler,TX Southern,86.76%,,
Butler,UCLA,25.25%,,
Butler,UMBC,84.10%,,
Butler,UNC Greensboro,64.58%,,
Butler,Villanova,16.31%,,
Butler,Virginia,16.28%,,
Butler,Virginia Tech,58.33%,,
Butler,West Virginia,27.50%,,
Butler,Wichita St,35.27%,,
Butler,Wright St,72.91%,,
Butler,Xavier,25.19%,,
Cincinnati,Clemson,75.62%,,
Cincinnati,Col Charleston,44.04%,,
Cincinnati,Creighton,79.73%,,
Cincinnati,CS Fullerton,93.00%,,
Cincinnati,Davidson,87.54%,,
Cincinnati,Duke,45.85%,,
Cincinnati,Florida,71.46%,,
Cincinnati,Florida St,75.73%,,
Cincinnati,Gonzaga,57.92%,,
Cincinnati,Houston,74.15%,,
Cincinnati,Iona,92.97%,,
Cincinnati,Kansas,50.72%,,
Cincinnati,Kansas St,74.17%,,
Cincinnati,Kentucky,73.26%,,
Cincinnati,Lipscomb,94.97%,,
Cincinnati,Long Island,67.05%,,
Cincinnati,Loyola-Chicago,83.42%,,
Cincinnati,Marshall,88.89%,,
Cincinnati,Miami FL,70.11%,,
Cincinnati,Michigan,61.63%,,
Cincinnati,Michigan St,68.77%,,
Cincinnati,Missouri,88.68%,,
Cincinnati,Montana,88.07%,,
Cincinnati,Murray St,84.55%,,
Cincinnati,NC Central,67.14%,,
Cincinnati,NC State,74.70%,,
Auburn,Clemson,66.87%,M,X
Cincinnati,New Mexico St,86.09%,,
Cincinnati,North Carolina,54.00%,,
Cincinnati,Ohio St,70.76%,,
Cincinnati,Oklahoma,86.62%,,
Cincinnati,Penn,94.44%,,
Cincinnati,Providence,83.31%,,
Cincinnati,Purdue,57.87%,,
Cincinnati,Radford,91.39%,,
Cincinnati,Rhode Island,71.02%,,
Cincinnati,S Dakota St,88.93%,,
Cincinnati,San Diego St,87.35%,,
Cincinnati,Seton Hall,78.71%,,
Cincinnati,SF Austin,89.40%,,
Cincinnati,St Bonaventure,86.54%,,
Cincinnati,Syracuse,81.54%,,
Cincinnati,TCU,77.51%,,
Cincinnati,Tennessee,65.39%,,
Cincinnati,Texas,81.76%,,
Cincinnati,Texas A&M,77.57%,,
Cincinnati,Texas Tech,54.99%,,
Cincinnati,TX Southern,95.00%,,
Cincinnati,UCLA,56.45%,,
Cincinnati,UMBC,95.00%,,
Cincinnati,UNC Greensboro,87.50%,,
Cincinnati,Villanova,42.79%,,
Cincinnati,Virginia,42.74%,,
Cincinnati,Virginia Tech,84.31%,,
Cincinnati,West Virginia,59.29%,,
Cincinnati,Wichita St,67.65%,,
Cincinnati,Wright St,91.17%,,
Cincinnati,Xavier,56.38%,,
Cincinnati,Georgia St,91.80%,,
Clemson,Col Charleston,20.24%,,
Clemson,Creighton,55.90%,,
Clemson,CS Fullerton,81.07%,,
Clemson,Davidson,69.37%,,
Clemson,Duke,21.44%,,
Clemson,Florida,44.67%,,
Clemson,Florida St,50.15%,,
Clemson,Georgia St,78.31%,,
Clemson,Gonzaga,30.74%,,
Clemson,Houston,48.05%,,
Clemson,Iona,80.99%,,
Clemson,Kansas,24.92%,,
Clemson,Kansas St,48.07%,,
Clemson,Kentucky,46.89%,,
Clemson,Lipscomb,85.89%,,
Clemson,Long Island,39.62%,,
Clemson,Loyola-Chicago,61.87%,,
Clemson,Marshall,72.05%,,
Clemson,Miami FL,43.05%,,
Clemson,Michigan,34.12%,,
Clemson,Michigan St,41.51%,,
Clemson,Missouri,71.63%,,
Clemson,Montana,70.42%,,
Clemson,Murray St,63.82%,,
Clemson,NC Central,39.71%,,
Clemson,NC State,48.77%,,
Clemson,Nevada,49.27%,,
Clemson,North Carolina,27.45%,,
Clemson,Ohio St,43.83%,,
Clemson,Oklahoma,67.60%,,
Clemson,Penn,84.56%,,
Clemson,Providence,61.67%,,
Clemson,Purdue,30.69%,,
Clemson,Radford,77.37%,,
Clemson,Rhode Island,44.13%,,
Clemson,S Dakota St,72.13%,,
Clemson,San Diego St,69.00%,,
Clemson,Seton Hall,54.37%,,
Clemson,SF Austin,73.11%,,
Clemson,St Bonaventure,67.46%,,
Clemson,Syracuse,58.74%,,
Clemson,TCU,52.64%,,
Clemson,Tennessee,37.86%,,
Clemson,Texas,59.10%,,
Clemson,Texas A&M,52.71%,,
Clemson,Texas Tech,28.26%,,
Clemson,TX Southern,89.02%,,
Clemson,UCLA,29.47%,,
Clemson,UMBC,86.75%,,
Clemson,UNC Greensboro,69.29%,,
Clemson,Villanova,19.43%,,
Clemson,Virginia,19.40%,,
Clemson,Virginia Tech,63.40%,,
Clemson,West Virginia,31.95%,,
Clemson,Wichita St,40.27%,,
Clemson,Wright St,76.91%,,
Clemson,Xavier,29.42%,,
Clemson,New Mexico St,66.62%,,
Col Charleston,Creighton,83.32%,,
Col Charleston,CS Fullerton,94.40%,,
Col Charleston,Davidson,89.92%,,
Col Charleston,Duke,51.82%,,
Col Charleston,Florida,76.08%,,
Col Charleston,Florida St,79.85%,,
Col Charleston,Georgia St,93.43%,,
Col Charleston,Gonzaga,63.61%,,
Col Charleston,Houston,78.47%,,
Col Charleston,Iona,94.38%,,
Col Charleston,Kansas,56.66%,,
Col Charleston,Kansas St,78.48%,,
Col Charleston,Kentucky,77.67%,,
Col Charleston,Lipscomb,95.00%,,
Col Charleston,Long Island,72.11%,,
Col Charleston,Loyola-Chicago,86.47%,,
Col Charleston,Marshall,91.04%,,
Col Charleston,Miami FL,74.86%,,
Col Charleston,Michigan,67.11%,,
Col Charleston,Michigan St,73.66%,,
Col Charleston,Missouri,90.86%,,
Col Charleston,Montana,90.36%,,
Col Charleston,Murray St,87.42%,,
Col Charleston,NC Central,72.18%,,
Col Charleston,NC State,78.95%,,
Col Charleston,Nevada,79.28%,,
Col Charleston,New Mexico St,88.71%,,
Col Charleston,North Carolina,59.85%,,
Col Charleston,Ohio St,75.45%,,
Col Charleston,Oklahoma,89.15%,,
Col Charleston,Penn,95.00%,,
Col Charleston,Providence,86.37%,,
Col Charleston,Purdue,63.56%,,
Col Charleston,Radford,93.09%,,
Col Charleston,Rhode Island,75.68%,,
Col Charleston,S Dakota St,91.07%,,
Col Charleston,San Diego St,89.76%,,
Col Charleston,Seton Hall,82.44%,,
Col Charleston,SF Austin,91.46%,,
Col Charleston,St Bonaventure,89.09%,,
Col Charleston,Syracuse,84.87%,,
Col Charleston,TCU,81.41%,,
Col Charleston,Tennessee,70.59%,,
Col Charleston,Texas,85.06%,,
Col Charleston,Texas A&M,81.45%,,
Col Charleston,Texas Tech,60.81%,,
Col Charleston,TX Southern,95.00%,,
Col Charleston,UCLA,62.21%,,
Col Charleston,UMBC,95.00%,,
Col Charleston,UNC Greensboro,89.89%,,
Col Charleston,Villanova,48.72%,,
Col Charleston,Virginia,48.67%,,
Col Charleston,Virginia Tech,87.22%,,
Col Charleston,West Virginia,64.91%,,
Col Charleston,Wichita St,72.65%,,
Col Charleston,Wright St,92.92%,,
Col Charleston,Xavier,62.15%,,
Creighton,CS Fullerton,77.16%,,
Creighton,Davidson,64.12%,,
Creighton,Duke,17.72%,,
Creighton,Florida,38.91%,,
Creighton,Florida St,44.25%,,
Creighton,Georgia St,74.02%,,
Creighton,Gonzaga,25.93%,,
Creighton,Houston,42.19%,,
Creighton,Iona,77.08%,,
Creighton,Kansas,20.75%,,
Creighton,Kentucky,41.06%,,
Creighton,Lipscomb,82.76%,,
Creighton,Long Island,34.11%,,
Creighton,Loyola-Chicago,56.14%,,
Creighton,Marshall,67.04%,,
Creighton,Miami FL,37.36%,,
Creighton,Michigan,29.01%,,
Creighton,Michigan St,35.90%,,
Creighton,Missouri,66.58%,,
Creighton,Montana,65.25%,,
Creighton,Murray St,58.19%,,
Creighton,NC Central,34.20%,,
Creighton,NC State,42.89%,,
Creighton,Nevada,43.38%,,
Creighton,New Mexico St,61.16%,,
Creighton,North Carolina,22.99%,,
Creighton,Ohio St,38.10%,,
Creighton,Oklahoma,62.21%,,
Creighton,Penn,81.21%,,
Creighton,Providence,55.94%,,
Creighton,Purdue,25.89%,,
Creighton,Radford,72.96%,,
Creighton,Rhode Island,38.39%,,
Creighton,S Dakota St,67.13%,,
Creighton,San Diego St,63.72%,,
Creighton,Seton Hall,48.46%,,
Creighton,SF Austin,68.20%,,
Creighton,St Bonaventure,62.06%,,
Creighton,Syracuse,52.91%,,
Creighton,TCU,46.72%,,
Creighton,Tennessee,32.46%,,
Creighton,Texas,53.27%,,
Creighton,Texas A&M,46.79%,,
Creighton,Texas Tech,23.71%,,
Creighton,TX Southern,86.48%,,
Creighton,UCLA,24.80%,,
Creighton,UMBC,83.78%,,
Creighton,UNC Greensboro,64.04%,,
Creighton,Villanova,15.99%,,
Creighton,Virginia,15.96%,,
Creighton,Virginia Tech,57.75%,,
Creighton,West Virginia,27.03%,,
Creighton,Wichita St,34.73%,,
Creighton,Wright St,72.43%,,
Creighton,Xavier,24.75%,,
Creighton,Kansas St,42.21%,,
CS Fullerton,Purdue,9.37%,,
CS Fullerton,Davidson,34.60%,,
CS Fullerton,Duke,5.99%,,
CS Fullerton,Florida,15.86%,,
CS Fullerton,Florida St,19.03%,,
CS Fullerton,Georgia St,45.75%,,
CS Fullerton,Gonzaga,9.39%,,
CS Fullerton,Houston,17.76%,,
CS Fullerton,Iona,49.88%,,
CS Fullerton,Kansas,7.19%,,
CS Fullerton,Kansas St,17.78%,,
CS Fullerton,Kentucky,17.10%,,
CS Fullerton,Lipscomb,58.70%,,
CS Fullerton,Long Island,13.29%,,
CS Fullerton,Loyola-Chicago,27.48%,,
CS Fullerton,Marshall,37.58%,,
CS Fullerton,Miami FL,15.01%,,
CS Fullerton,Michigan,10.79%,,
CS Fullerton,Michigan St,14.22%,,
CS Fullerton,Missouri,37.09%,,
CS Fullerton,Montana,35.73%,,
CS Fullerton,Murray St,29.17%,,
